Cocktail Name,Ingredients,Preparation,Image
Tia-Maria,"Vanilla extract, Rum, Coffee, Brown sugar, Water, ","Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using.",https://www.thecocktaildb.com/images/media/drink/sih81u1504367097.jpg
Tipperary,"Green Chartreuse, Sweet Vermouth, Irish Whiskey, ","Stir over ice. Strain into chilled glass. Cut a wide swath of orange peel, and express the orange oils over the drink. Discard orange twist.",https://www.thecocktaildb.com/images/media/drink/b522ek1521761610.jpg
Turkeyball,"Pineapple juice, Amaretto, Wild Turkey, ",Shake with ice and strain into a shot glass.,https://www.thecocktaildb.com/images/media/drink/rxurpr1441554292.jpg
Tom Collins,"Orange, Maraschino cherry, Club soda, Sugar, Lemon juice, Gin, ","In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice.",https://www.thecocktaildb.com/images/media/drink/7cll921606854636.jpg
Texas Sling,"Cream, 151 proof rum, Amaretto, Irish cream, Kahlua, ","Blend with Ice until smooth. Serve in a tulip glass, top with whip cream.",https://www.thecocktaildb.com/images/media/drink/ypl13s1504890158.jpg
Tequila Fizz,"Ginger ale, Egg white, Grenadine, Lemon juice, Tequila, ","Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/2bcase1504889637.jpg
Tequila Sour,"Cherry, Lemon, Powdered sugar, Lemon, Tequila, ","Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/ek0mlq1504820601.jpg
Talos Coffee,"Coffee, Grand Marnier, ",Add your GM and then add your coffee.,https://www.thecocktaildb.com/images/media/drink/rswqpy1441246518.jpg
Tennesee Mud,"Whipped cream, Amaretto, Jack Daniels, Coffee, ","Mix Coffee, Jack Daniels and Amaretto. Add Cream on top.",https://www.thecocktaildb.com/images/media/drink/txruqv1441245770.jpg
Turf Cocktail,"Orange peel, Bitters, Anis, Gin, Dry Vermouth, ",Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.,https://www.thecocktaildb.com/images/media/drink/utypqq1441554367.jpg
The Last Word,"Lime Juice, Maraschino Liqueur, Green Chartreuse, ",Shake with ice and strain into a cocktail glass.,https://www.thecocktaildb.com/images/media/drink/91oule1513702624.jpg
The Laverstoke,"Mint, Ginger, Lime, Tonic Water, Rosso Vermouth, Elderflower cordial, Gin, ","1) Squeeze two lime wedges into a balloon glass then add the cordial, Bombay Sapphire and MARTINI Rosso Vermouth, swirl to mix.

2) Fully fill the glass with cubed ice and stir to chill.

3) Top with Fever-Tree Ginger Ale and gently stir again to combine.

4) Garnish with a snapped ginger slice and an awoken mint sprig.",https://www.thecocktaildb.com/images/media/drink/6xfj5t1517748412.jpg
Tuxedo Cocktail,"Cherry, Orange bitters, Anis, Maraschino liqueur, Gin, Dry Vermouth, ",Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.,https://www.thecocktaildb.com/images/media/drink/4u0nbl1504352551.jpg
Tequila Sunrise,"Grenadine, Orange juice, Tequila, ","Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.",https://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg
Tequila Slammer,"7-up, Tequila, ",Mix carefully to avoid releasing the dissolved CO2.,https://www.thecocktaildb.com/images/media/drink/43uhr51551451311.jpg
The Philosopher,"Prosecco, Lemon Juice, Orange Bitters, Melon Liqueur, Gin, ","Add all the spirits in a shaker (best to use Hendricks gin) as well as the orange bitters and lemon juice. Strain into a Margarita glass, top with Prosecco.",https://www.thecocktaildb.com/images/media/drink/sp8hkp1596017787.jpg
Tequila Surprise,"Tabasco sauce, Tequila, ",Fill shot glass with Tequila. Add drops of Tobasco sauce.,https://www.thecocktaildb.com/images/media/drink/8189p51504735581.jpg
The Jimmy Conway,"Cranberry Juice, Amaretto, Irish Whiskey, ","Fill glass with ice
Pour in The Irishman and Disaronno
Fill to the top with Cranberry Juice
Garnish with a slice of lemon…Enjoy!",https://www.thecocktaildb.com/images/media/drink/wbcvyo1535794478.jpg
